tracer_index,tsne1,tsne2,log_density
3.700000000000000000e+01,4.100700759887695312e+01,-4.484489822387695312e+01,9.046245574951171875e+00
3.800000000000000000e+01,4.094904327392578125e+01,-4.473634338378906250e+01,9.045421600341796875e+00
3.900000000000000000e+01,4.053744888305664062e+01,-4.476107788085937500e+01,9.037204742431640625e+00
4.000000000000000000e+01,4.059099578857421875e+01,-4.495382308959960938e+01,9.041409492492675781e+00
4.100000000000000000e+01,4.053612518310546875e+01,-4.492646408081054688e+01,9.033407211303710938e+00
4.200000000000000000e+01,4.027529907226562500e+01,-4.456597137451171875e+01,9.022673606872558594e+00
4.300000000000000000e+01,4.101538848876953125e+01,-4.471107101440429688e+01,9.051033973693847656e+00
4.400000000000000000e+01,4.025782394409179688e+01,-4.458329772949218750e+01,9.022470474243164062e+00
4.500000000000000000e+01,4.085547256469726562e+01,-4.466098403930664062e+01,9.042783737182617188e+00
4.600000000000000000e+01,4.046808242797851562e+01,-4.472212982177734375e+01,9.032632827758789062e+00
4.700000000000000000e+01,4.040520858764648438e+01,-4.472690963745117188e+01,9.029040336608886719e+00
4.800000000000000000e+01,4.032851409912109375e+01,-4.458829498291015625e+01,9.026073455810546875e+00
4.900000000000000000e+01,4.085396194458007812e+01,-4.455456161499023438e+01,9.043829917907714844e+00
5.000000000000000000e+01,4.065827560424804688e+01,-4.443441009521484375e+01,9.033644676208496094e+00
5.100000000000000000e+01,4.061618804931640625e+01,-4.437741851806640625e+01,9.033005714416503906e+00
5.200000000000000000e+01,3.999720001220703125e+01,-4.412086486816406250e+01,9.008821487426757812e+00
5.300000000000000000e+01,4.050600814819335938e+01,-4.432275390625000000e+01,9.026341438293457031e+00
5.400000000000000000e+01,4.071318054199218750e+01,-4.448464202880859375e+01,9.034669876098632812e+00
5.500000000000000000e+01,4.015777969360351562e+01,-4.435196304321289062e+01,9.015556335449218750e+00
5.600000000000000000e+01,4.032276153564453125e+01,-4.454344558715820312e+01,9.025440216064453125e+00
5.700000000000000000e+01,4.071278762817382812e+01,-4.438387680053710938e+01,9.040700912475585938e+00
5.800000000000000000e+01,4.007678985595703125e+01,-4.405996704101562500e+01,9.015148162841796875e+00
5.900000000000000000e+01,3.987816619873046875e+01,-4.379484176635742188e+01,9.003199577331542969e+00
6.000000000000000000e+01,4.002032089233398438e+01,-4.395774459838867188e+01,9.013244628906250000e+00
6.100000000000000000e+01,4.024853134155273438e+01,-4.408166122436523438e+01,9.022443771362304688e+00
6.200000000000000000e+01,3.985089492797851562e+01,-4.366514205932617188e+01,8.998760223388671875e+00
6.300000000000000000e+01,4.026677322387695312e+01,-4.408663558959960938e+01,9.025341033935546875e+00
6.400000000000000000e+01,4.012799835205078125e+01,-4.397508621215820312e+01,9.023110389709472656e+00
6.500000000000000000e+01,3.979535293579101562e+01,-4.356845474243164062e+01,8.998505592346191406e+00
6.600000000000000000e+01,3.986587142944335938e+01,-4.369724273681640625e+01,9.006508827209472656e+00
6.700000000000000000e+01,3.957523345947265625e+01,-4.341683197021484375e+01,9.003694534301757812e+00
6.800000000000000000e+01,4.005796432495117188e+01,-4.397510910034179688e+01,9.021241188049316406e+00
6.900000000000000000e+01,4.016704940795898438e+01,-4.393743133544921875e+01,9.025192260742187500e+00
7.000000000000000000e+01,3.996865844726562500e+01,-4.384283065795898438e+01,9.018840789794921875e+00
7.100000000000000000e+01,3.963982391357421875e+01,-4.346232986450195312e+01,9.003998756408691406e+00
7.200000000000000000e+01,4.012716293334960938e+01,-4.400098419189453125e+01,9.022497177124023438e+00
7.300000000000000000e+01,3.947937393188476562e+01,-4.294069671630859375e+01,8.983852386474609375e+00
7.400000000000000000e+01,3.946146011352539062e+01,-4.304283905029296875e+01,8.991214752197265625e+00
7.500000000000000000e+01,3.961582565307617188e+01,-4.347920608520507812e+01,9.010564804077148438e+00
7.600000000000000000e+01,3.932134628295898438e+01,-4.316921997070312500e+01,9.002462387084960938e+00
7.700000000000000000e+01,3.954780578613281250e+01,-4.332975387573242188e+01,8.999441146850585938e+00
7.800000000000000000e+01,3.923223114013671875e+01,-4.283082580566406250e+01,8.989660263061523438e+00
7.900000000000000000e+01,3.956357574462890625e+01,-4.324447631835937500e+01,8.993112564086914062e+00
8.000000000000000000e+01,3.938770294189453125e+01,-4.294860076904296875e+01,8.987648010253906250e+00
8.100000000000000000e+01,3.948236083984375000e+01,-4.333590316772460938e+01,9.001436233520507812e+00
8.200000000000000000e+01,3.902272796630859375e+01,-4.214421081542968750e+01,8.970667839050292969e+00
8.300000000000000000e+01,3.930138397216796875e+01,-4.288208770751953125e+01,8.988406181335449219e+00
8.400000000000000000e+01,3.885295104980468750e+01,-4.208829879760742188e+01,8.970424652099609375e+00
8.500000000000000000e+01,3.882250595092773438e+01,-4.256147003173828125e+01,8.986188888549804688e+00
8.600000000000000000e+01,3.858161163330078125e+01,-4.223805618286132812e+01,8.980468750000000000e+00
8.700000000000000000e+01,3.927193832397460938e+01,-4.301746749877929688e+01,8.998762130737304688e+00
8.800000000000000000e+01,3.916120910644531250e+01,-4.245326614379882812e+01,8.974279403686523438e+00
8.900000000000000000e+01,3.928160858154296875e+01,-4.297910690307617188e+01,8.996240615844726562e+00
9.000000000000000000e+01,3.908838272094726562e+01,-4.303639602661132812e+01,9.001405715942382812e+00
9.100000000000000000e+01,3.909265136718750000e+01,-4.242797470092773438e+01,8.976260185241699219e+00
9.200000000000000000e+01,3.828215408325195312e+01,-4.129529953002929688e+01,8.960524559020996094e+00
9.300000000000000000e+01,3.892261886596679688e+01,-4.279700851440429688e+01,8.991431236267089844e+00
9.400000000000000000e+01,3.893703842163085938e+01,-4.234213638305664062e+01,8.979296684265136719e+00
9.500000000000000000e+01,3.896313858032226562e+01,-4.230728912353515625e+01,8.976327896118164062e+00
