tracer_index,tsne1,tsne2,log_density
9.000000000000000000e+01,1.835970282554626465e+00,-6.512209320068359375e+01,9.001405715942382812e+00
9.100000000000000000e+01,2.510711193084716797e+00,-6.619257354736328125e+01,8.976260185241699219e+00
9.200000000000000000e+01,2.489459991455078125e+00,-6.461230468750000000e+01,8.960524559020996094e+00
9.300000000000000000e+01,2.129345178604125977e+00,-6.538331604003906250e+01,8.991431236267089844e+00
9.400000000000000000e+01,1.791541457176208496e+00,-6.512527465820312500e+01,8.979296684265136719e+00
9.500000000000000000e+01,2.776353836059570312e+00,-6.577128601074218750e+01,8.976327896118164062e+00
9.600000000000000000e+01,2.099602699279785156e+00,-6.541367340087890625e+01,8.978304862976074219e+00
9.700000000000000000e+01,1.606269121170043945e+00,-6.470420074462890625e+01,8.964845657348632812e+00
9.800000000000000000e+01,2.105473995208740234e+00,-6.491680145263671875e+01,8.966106414794921875e+00
9.900000000000000000e+01,2.120108127593994141e+00,-6.532419586181640625e+01,8.981432914733886719e+00
1.000000000000000000e+02,2.722956418991088867e+00,-6.552410125732421875e+01,8.963337898254394531e+00
1.010000000000000000e+02,2.660707473754882812e+00,-6.518694305419921875e+01,8.992001533508300781e+00
1.020000000000000000e+02,2.150878429412841797e+00,-6.495882415771484375e+01,8.980220794677734375e+00
1.030000000000000000e+02,1.695714712142944336e+00,-6.488423919677734375e+01,8.964928627014160156e+00
1.040000000000000000e+02,2.300508737564086914e+00,-6.545056915283203125e+01,8.976423263549804688e+00
1.050000000000000000e+02,1.914834380149841309e+00,-6.478336334228515625e+01,8.994378089904785156e+00
1.060000000000000000e+02,2.331850528717041016e+00,-6.566010284423828125e+01,8.954385757446289062e+00
1.070000000000000000e+02,1.339020609855651855e+00,-6.405054473876953125e+01,8.991274833679199219e+00
1.080000000000000000e+02,2.263481378555297852e+00,-6.518265533447265625e+01,8.968543052673339844e+00
1.090000000000000000e+02,1.698713779449462891e+00,-6.492459869384765625e+01,8.973079681396484375e+00
1.100000000000000000e+02,1.044244050979614258e+00,-6.349913024902343750e+01,8.944470405578613281e+00
1.110000000000000000e+02,2.505974769592285156e+00,-6.461913299560546875e+01,8.962706565856933594e+00
1.120000000000000000e+02,2.160329818725585938e+00,-6.398944091796875000e+01,8.961086273193359375e+00
1.130000000000000000e+02,1.562972426414489746e+00,-6.449900054931640625e+01,8.961251258850097656e+00
1.140000000000000000e+02,1.234655380249023438e+00,-6.412550354003906250e+01,8.945152282714843750e+00
1.150000000000000000e+02,1.487367630004882812e+00,-6.442841339111328125e+01,8.990204811096191406e+00
1.160000000000000000e+02,1.560141086578369141e+00,-6.460644531250000000e+01,9.000090599060058594e+00
1.170000000000000000e+02,2.394927740097045898e+00,-6.592749786376953125e+01,8.968863487243652344e+00
1.180000000000000000e+02,1.667807221412658691e+00,-6.480771636962890625e+01,8.978977203369140625e+00
1.190000000000000000e+02,2.056581258773803711e+00,-6.453610229492187500e+01,8.969120979309082031e+00
1.200000000000000000e+02,2.534813880920410156e+00,-6.470425415039062500e+01,8.968797683715820312e+00
1.210000000000000000e+02,2.014950752258300781e+00,-6.450003814697265625e+01,8.958689689636230469e+00
